iter	Passed	Remaining
401	14768	21969
402	14803	21930
403	14840	21892
404	14878	21858
405	14916	21822
406	14954	21788
407	14991	21751
408	15028	21716
409	15066	21680
410	15104	21645
411	15140	21607
412	15176	21570
413	15213	21533
414	15251	21498
415	15287	21461
416	15325	21426
417	15362	21390
418	15397	21351
419	15433	21312
420	15470	21275
421	15507	21240
422	15545	21204
423	15582	21169
424	15618	21131
425	15654	21093
426	15692	21057
427	15729	21021
428	15765	20984
429	15801	20945
430	15840	20912
431	15875	20872
432	15911	20835
433	15951	20802
434	15987	20765
435	16023	20727
436	16061	20692
437	16096	20653
438	16131	20614
439	16166	20575
440	16202	20537
441	16239	20500
442	16275	20463
443	16311	20425
444	16348	20389
445	16383	20350
446	16418	20311
447	16455	20275
448	16492	20239
449	16528	20201
450	16565	20164
451	16603	20129
452	16639	20092
453	16677	20057
454	16714	20020
455	16751	19984
456	16788	19947
457	16826	19912
458	16859	19871
459	16895	19834
460	16931	19796
461	16969	19761
462	17006	19724
463	17044	19689
464	17079	19650
465	17114	19612
466	17151	19575
467	17188	19538
468	17225	19503
469	17262	19466
470	17299	19429
471	17334	19390
472	17369	19353
473	17406	19316
474	17443	19279
475	17479	19242
476	17518	19207
477	17554	19170
478	17591	19133
479	17627	19096
480	17665	19060
481	17701	19024
482	17739	18988
483	17774	18949
484	17809	18911
485	17844	18872
486	17880	18834
487	17916	18797
488	17953	18761
489	17992	18726
490	18029	18689
491	18066	18653
492	18103	18617
493	18141	18582
494	18183	18550
495	18220	18514
496	18257	18478
497	18295	18442
498	18333	18406
499	18370	18370
500	18406	18333
501	18441	18294
502	18478	18258
503	18516	18222
504	18555	18188
505	18592	18151
506	18628	18113
507	18667	18079
508	18706	18045
509	18745	18010
510	18781	17972
511	18818	17936
512	18857	17901
513	18895	17865
514	18931	17828
515	18967	17791
516	19001	17751
517	19038	17715
518	19074	17678
519	19108	17638
520	19145	17602
521	19182	17565
522	19220	17529
523	19256	17492
524	19294	17456
525	19331	17420
526	19367	17382
527	19403	17345
528	19441	17309
529	19477	17272
530	19514	17236
531	19552	17200
532	19589	17163
533	19627	17127
534	19662	17089
535	19699	17053
536	19738	17018
537	19774	16981
538	19813	16945
539	19848	16908
540	19884	16870
541	19919	16832
542	19954	16794
543	19990	16756
544	20027	16720
545	20066	16685
546	20103	16648
547	20139	16611
548	20177	16575
549	20212	16537
550	20250	16501
551	20288	16465
552	20327	16431
553	20363	16393
554	20403	16359
555	20439	16322
556	20475	16284
557	20513	16249
558	20549	16211
559	20586	16175
560	20619	16135
561	20656	16098
562	20694	16063
563	20731	16026
564	20765	15987
565	20802	15950
566	20841	15916
567	20878	15879
568	20914	15842
569	20954	15807
570	20991	15771
571	21026	15733
572	21063	15696
573	21101	15660
574	21136	15622
575	21173	15586
576	21211	15550
577	21248	15513
578	21287	15478
579	21323	15441
580	21359	15403
581	21396	15367
582	21431	15329
583	21467	15292
584	21503	15254
585	21541	15218
586	21576	15181
587	21615	15145
588	21652	15108
589	21689	15072
590	21725	15035
591	21764	14999
592	21802	14964
593	21841	14928
594	21878	14892
595	21916	14855
596	21952	14819
597	21989	14781
598	22023	14743
599	22059	14706
600	22093	14667
601	22129	14630
602	22167	14594
603	22202	14556
604	22239	14519
605	22274	14481
606	22306	14442
607	22343	14405
608	22381	14369
609	22418	14333
610	22457	14297
611	22496	14262
612	22532	14224
613	22565	14185
614	22601	14148
615	22637	14111
616	22675	14075
617	22712	14039
618	22748	14001
619	22784	13964
620	22819	13927
621	22855	13889
622	22894	13854
623	22931	13817
624	22970	13782
625	23007	13745
626	23042	13707
627	23081	13672
628	23115	13634
629	23151	13597
630	23189	13560
631	23225	13523
632	23263	13487
633	23303	13452
634	23341	13417
635	23379	13380
636	23415	13343
637	23452	13307
638	23488	13269
639	23523	13231
640	23558	13194
641	23595	13157
642	23629	13119
643	23664	13081
644	23698	13043
645	23734	13006
646	23771	12969
647	23807	12932
648	23843	12895
649	23879	12858
650	23914	12820
651	23949	12782
652	23985	12745
653	24022	12708
654	24058	12672
655	24094	12634
656	24130	12597
657	24167	12561
658	24203	12524
659	24237	12486
660	24273	12448
661	24307	12410
662	24345	12374
663	24381	12337
664	24418	12301
665	24456	12265
666	24492	12227
667	24527	12190
668	24563	12153
669	24600	12116
670	24632	12077
671	24668	12040
672	24703	12002
673	24739	11965
674	24775	11929
675	24812	11892
676	24848	11855
677	24885	11818
678	24921	11781
679	24956	11744
680	24993	11707
681	25030	11671
682	25068	11634
683	25105	11598
684	25143	11562
685	25185	11527
686	25220	11490
687	25259	11454
688	25298	11419
689	25334	11382
690	25370	11345
691	25409	11309
692	25449	11274
693	25485	11237
694	25519	11199
695	25557	11163
696	25597	11127
697	25635	11091
698	25673	11055
699	25712	11019
700	25750	10983
701	25785	10946
702	25820	10908
703	25855	10871
704	25891	10834
705	25927	10797
706	25963	10760
707	26000	10723
708	26038	10687
709	26076	10650
710	26112	10613
711	26148	10577
712	26187	10541
713	26223	10503
714	26259	10466
715	26296	10430
716	26335	10394
717	26373	10358
718	26408	10320
719	26444	10284
720	26482	10247
721	26521	10211
722	26559	10175
723	26597	10139
724	26633	10102
725	26670	10065
726	26708	10029
727	26743	9991
728	26779	9955
729	26814	9917
730	26851	9880
731	26888	9844
732	26924	9807
733	26961	9770
734	26997	9733
735	27033	9696
736	27069	9659
737	27106	9623
738	27143	9586
739	27179	9549
740	27213	9511
741	27250	9475
742	27285	9438
743	27323	9401
744	27360	9364
745	27398	9328
746	27435	9292
747	27473	9255
748	27510	9219
749	27548	9182
750	27586	9146
751	27623	9109
752	27660	9073
753	27696	9036
754	27731	8999
755	27768	8962
756	27808	8926
757	27845	8890
758	27882	8853
759	27919	8816
760	27953	8779
761	27990	8742
762	28031	8707
763	28072	8671
764	28109	8634
765	28149	8599
766	28194	8564
767	28237	8530
768	28274	8493
769	28314	8457
770	28349	8420
771	28387	8383
772	28424	8347
773	28460	8310
774	28497	8273
775	28534	8236
776	28587	8204
777	28628	8169
778	28664	8132
779	28701	8095
780	28737	8058
781	28774	8021
782	28814	7985
783	28850	7948
784	28886	7911
785	28923	7874
786	28957	7837
787	28994	7800
788	29030	7763
789	29066	7726
790	29104	7690
791	29139	7652
792	29175	7615
793	29210	7578
794	29247	7541
795	29285	7505
796	29322	7468
797	29361	7432
798	29399	7395
799	29438	7359
800	29476	7323
801	29514	7286
802	29548	7249
803	29583	7211
804	29617	7174
805	29653	7137
806	29688	7100
807	29723	7062
808	29758	7025
809	29793	6988
810	29830	6951
811	29865	6914
812	29903	6878
813	29939	6841
814	29977	6804
815	30012	6767
816	30048	6730
817	30084	6693
818	30123	6657
819	30161	6620
820	30196	6583
821	30232	6546
822	30268	6509
823	30303	6472
824	30337	6435
825	30371	6397
826	30407	6360
827	30445	6324
828	30482	6287
829	30519	6250
830	30556	6214
831	30592	6177
832	30626	6139
833	30662	6103
834	30699	6066
835	30736	6029
836	30772	5992
837	30811	5956
838	30853	5920
839	30892	5884
840	30930	5847
841	30969	5811
842	31005	5774
843	31044	5738
844	31084	5701
845	31122	5665
846	31160	5628
847	31199	5592
848	31239	5556
849	31274	5519
850	31311	5482
851	31346	5445
852	31381	5408
853	31415	5370
854	31451	5333
855	31488	5297
856	31523	5259
857	31557	5222
858	31595	5186
859	31632	5149
860	31669	5112
861	31706	5075
862	31742	5039
863	31781	5002
864	31818	4965
865	31856	4929
866	31895	4892
867	31933	4856
868	31970	4819
869	32006	4782
870	32041	4745
871	32076	4708
872	32113	4671
873	32148	4634
874	32183	4597
875	32219	4560
876	32254	4523
877	32291	4486
878	32326	4449
879	32361	4412
880	32396	4375
881	32431	4338
882	32467	4302
